job_title,seniority_level,status,company,location,post_date,headquarter,industry,ownership,company_size,revenue,salary,skills,salary_clean,revenue_clean,company_size_clean
data scientist,senior,hybrid,company_340,"San Jose, CA . Hybrid",2 months ago,"New York, NY, US",Technology,Private,750,Private,"€112,800 - €194,405","['sql', 'machine learning', 'r', 'python']",1.13E+11,0,750
data scientist,Uknown,on-site,company_341,On-site,13 days ago,"San Francisco, CA, US",Technology,Private,600,€13.85B,"€127,868 - €143,851",[],1.28E+11,13.85,600
data scientist,senior,uknown,company_343,"Edinburgh, Scotland, United Kingdom",a day ago,"Edinburgh, GB",Finance,Public,"60,010",€24.78B,"€59,677","['machine learning', 'python']",59677,24.78,60010
data scientist,senior,on-site,company_201,"Milwaukee, WI",8 days ago,"Deerfield, IL, US",Healthcare,Public,"48,050",€25.16B,"€102,300 - €140,660","['spark', 'python', 'scala', 'machine learning', 'database', 'azure', 'tableau']",1.02E+11,25.16,48050
data scientist,midlevel,on-site,company_352,"Pune, Maharashtra, India . On-site",3 months ago,"Evanston, IL, US",Technology,Private,"12,090",Private,"€13,173","['amazon', 'r', 'python', 'java', 'database', 'hadoop', 'machine learning']",13173,0,12090
data scientist,senior,remote,company_353,Fully Remote,2 months ago,"Washington, US",Technology,Private,351,Private,"€164,400",[],164400,0,351
data scientist,senior,on-site,company_355,"Seattle, WA",a month ago,"San Francisco, CA, US",Technology,Public,"65,870",€130.59B,"€125,223 - €216,007","['sql', 'r', 'python']",1.25E+11,130.59,65870
data scientist,senior,on-site,company_184,"Johns Creek, GA",6 days ago,"New York, NY, US",Retail,Public,"130,020",€5.18B,"€137,000",['machine learning'],137000,5.18,130020
data scientist,senior,hybrid,company_357,"Basking Ridge, NJ . Irving, TX . Temple Terrace, FL . Boston, MA . Ashburn, VA + 1 More . Hybrid",8 days ago,"Basking Ridge, NJ, US",Technology,Public,"132,060",€142.23B,"€92,254","['python', 'sql', 'machine learning', 'database', 'hadoop', 'deep learning']",92254,142.23,132060
data scientist,senior,uknown,company_360,"Itanagar, Arunachal Pradesh, India",2 months ago,"Mumbai, MH, IN",Finance,Private,"78,060",Private,"€12,924","['pandas', 'numpy', 'pytorch', 'spark', 'aws', 'git', 'scikit-learn', 'python', 'docker', 'scipy', 'hadoop', 'machine learning', 'database', 'keras', 'deep learning', 'matplotlib', 'tensorflow']",12924,0,78060
data scientist,senior,remote,company_362,Fully Remote,16 days ago,"San Francisco, CA, US",Technology,Private,"1,890",€9.48B,"€198,198 - €277,565",[],1.98E+11,9.48,1890
data scientist,senior,on-site,company_031,"New Brunswick, NJ",a day ago,"New Brunswick, NJ, US",Healthcare,Public,"128,860",€412.87B,"€97,046 - €131,295","['aws', 'powerbi', 'r', 'python', 'airflow', 'machine learning', 'azure', 'tableau']",97046131295,412.87,128860
data scientist,senior,on-site,company_363,"Bellevue, WA",23 days ago,"New York, NY, US",Technology,Public,"24,320",Public,"€109,328 - €203,035","['pytorch', 'scikit-learn', 'python', 'scala', 'java', 'machine learning', 'tensorflow']",1.09E+11,0,24320
data scientist,lead,on-site,company_235,"Phoenix, AZ",15 days ago,"San Antonio, TX, US",Finance,Private,"33,050",Private,"€137,000","['spark', 'r', 'python', 'sql', 'machine learning', 'hadoop', 'deep learning']",137000,0,33050
